Loc	ID	SigQvNum_stat	Coverage_stat	ShufSigQvNum_stat	Coverage_shufStat	Freq_ypred	Coverage_ypred	dip.pval	ks2.pval	Type
chr11:70002236-70002236(+)	chr11_1_70002235	0	18	0	10	nan	nan	nan	nan	nan
chr11:70000246-70000246(+)	chr11_1_70000245	0	15	0	10	nan	nan	nan	nan	nan
chr11:70002978-70002978(-)	chr11_0_70002977	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005359-70005359(+)	chr11_1_70005358	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005056-70005056(-)	chr11_0_70005055	0	16	0	10	nan	nan	nan	nan	nan
chr11:70003107-70003107(+)	chr11_1_70003106	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005443-70005443(-)	chr11_0_70005442	0	19	0	10	nan	nan	nan	nan	nan
chr11:70007917-70007917(-)	chr11_0_70007916	0	19	0	10	nan	nan	nan	nan	nan
chr11:70004923-70004923(+)	chr11_1_70004922	0	15	0	10	nan	nan	nan	nan	nan
chr11:70003057-70003057(-)	chr11_0_70003056	0	18	0	10	nan	nan	nan	nan	nan
chr11:70002795-70002795(-)	chr11_0_70002794	0	20	0	10	nan	nan	nan	nan	nan
chr11:70008304-70008304(-)	chr11_0_70008303	0	18	0	10	nan	nan	nan	nan	nan
chr11:70005918-70005918(-)	chr11_0_70005917	0	20	0	10	nan	nan	nan	nan	nan
chr11:70008567-70008567(+)	chr11_1_70008566	0	20	0	10	nan	nan	nan	nan	nan
chr11:70008171-70008171(+)	chr11_1_70008170	0	17	0	10	nan	nan	nan	nan	nan
chr11:70002612-70002612(-)	chr11_0_70002611	0	21	0	10	nan	nan	nan	nan	nan
chr11:70005785-70005785(+)	chr11_1_70005784	0	20	0	10	nan	nan	nan	nan	nan
chr11:70006131-70006131(-)	chr11_0_70006130	0	18	0	10	nan	nan	nan	nan	nan
chr11:70005473-70005473(-)	chr11_0_70005472	0	17	0	10	nan	nan	nan	nan	nan
chr11:70005910-70005910(+)	chr11_1_70005909	0	18	0	10	nan	nan	nan	nan	nan
chr11:70006256-70006256(-)	chr11_0_70006255	0	18	0	10	nan	nan	nan	nan	nan
chr11:70009033-70009033(+)	chr11_1_70009032	0	21	0	10	nan	nan	nan	nan	nan
chr11:70002825-70002825(-)	chr11_0_70002824	0	20	0	10	nan	nan	nan	nan	nan
chr11:70005998-70005998(+)	chr11_1_70005997	0	22	0	10	nan	nan	nan	nan	nan
chr11:70002959-70002959(-)	chr11_0_70002958	0	18	0	10	nan	nan	nan	nan	nan
chr11:70005736-70005736(+)	chr11_1_70005735	0	19	0	10	nan	nan	nan	nan	nan
chr11:70005340-70005340(+)	chr11_1_70005339	0	17	0	10	nan	nan	nan	nan	nan
chr11:70009117-70009117(-)	chr11_0_70009116	0	21	0	10	nan	nan	nan	nan	nan
chr11:70000218-70000218(+)	chr11_1_70000217	0	15	0	10	nan	nan	nan	nan	nan
chr11:70005424-70005424(-)	chr11_0_70005423	0	18	0	10	nan	nan	nan	nan	nan
chr11:70008201-70008201(+)	chr11_1_70008200	0	17	0	10	nan	nan	nan	nan	nan
chr11:70002296-70002296(+)	chr11_1_70002295	0	19	0	10	nan	nan	nan	nan	nan
chr11:70003341-70003341(+)	chr11_1_70003340	0	18	0	10	nan	nan	nan	nan	nan
chr11:70003475-70003475(+)	chr11_1_70003474	0	17	0	10	nan	nan	nan	nan	nan
chr11:70008984-70008984(+)	chr11_1_70008983	0	21	0	10	nan	nan	nan	nan	nan
chr11:70008681-70008681(-)	chr11_0_70008680	0	21	0	10	nan	nan	nan	nan	nan
